iter	Passed	Remaining
0	1	61
1	2	55
2	4	52
3	5	49
4	6	46
5	8	44
6	9	42
7	10	40
8	11	39
9	13	37
10	14	36
11	15	34
12	16	33
13	18	32
14	19	30
15	20	29
16	21	28
17	22	26
18	24	25
19	25	24
20	26	22
21	27	21
22	30	21
23	33	20
24	34	19
25	36	18
26	38	17
27	39	15
28	41	14
29	42	12
30	45	11
31	48	10
32	49	9
33	51	7
34	52	5
35	53	4
36	56	3
37	58	1
38	61	0
